"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"ASG002_BC3C_24H:P21",0.682454430198838,0.388463163146054,0.353453701394241,0.42429255047739,1.5807808757388,-0.0162956908468365,1.19384278390226,0.142411273544934,0.608871439800043,0.710854476752533,1.09738460514184,-0.827710001966059,1.42949470396045,-0.119913785272451
"MOAR008_BC3C_24H:L01",-1.29875999498009,-0.333946172479261,1.47585740305326,-1.40804568813557,0.470817719555544,-0.279635843200581,0.600971675109416,-0.41727252073707,0.38645875173475,-0.853763981351237,0.738870848049271,1.53601412052489,0.372793063710966,0.107826173081114
"MOAR008_BC3C_24H:L02",-1.83714055748441,-1.97212762565256,0.353616034790645,-1.7257726788114,1.04168542708717,-1.59377645409827,-1.38898635226851,-0.231884601353577,0.37856102936463,0.519210662773203,-1.36017754702282,1.03557802986738,0.962828758947641,0.812717168425169
"MOAR008_BC3C_24H:L07",-1.39369126296854,-1.17900150818883,-0.0713055027396413,-1.58505002486511,1.68387597857638,-1.14029022716298,0.0863615902880651,-0.0634523260669723,-0.0380904307871343,1.37266305455426,0.081313382529148,0.981522226100915,0.0460328306580273,-1.43548602323716
"MOAR008_BC3C_24H:L08",-1.43784798877894,-1.515626726858,-0.53799975346128,-1.46088976083416,3.09358982194878,-1.1713282368159,-0.427780271155386,-0.545254838013115,-0.0597581245064259,0.312511516342515,-0.73902836826796,-0.307188104982087,0.529784706328836,1.29629454845598
"MOAR008_BC3C_24H:L09",-2.05980062177835,-0.973535061532532,1.72314865870207,-1.9639719825131,0.676810030162851,-0.858890428396596,0.0723827400042835,-0.232515304043793,0.0707014135804429,-0.597981256817544,0.0471412908961767,-1.66182800243088,0.253411360261505,0.492128134474895
"MOAR009_BC3C_24H:C10",-1.235141886322,-0.928987525582636,0.547179431620985,0.16795073687736,-0.61340379096744,-1.12639537580948,0.669837480048138,0.757569590998789,-0.193632701041839,-1.59951363722455,0.946915686633916,0.290775373056196,0.101263756809955,0.721555955676449
"MOAR009_BC3C_24H:C11",-0.425914703852091,-0.965090857368229,-0.232362636923447,-0.00349545061598608,-0.800927334438685,-0.722663467093145,-1.59895902021332,0.556766581608338,-0.417148550703638,-1.39976750299866,-1.45058078032353,-0.160973014155323,-0.180389851175262,-0.0873489384969564
"MOAR009_BC3C_24H:C12",-0.533206022774074,-0.308405567622216,0.562875826587814,-1.07437320087594,-0.682352213256182,-0.581731456956469,-0.348664192889671,0.15844334631708,-0.242924432857906,-1.15239553513496,0.1843894003709,-0.722127163912131,0.0800113874376946,-0.384356710762365
"MOAR010_BC3C_24H:A14",-1.88088793486928,-0.566267175300576,-0.5596269940175,-1.59104561580973,2.19998623219578,0.0561597888266871,-0.595786388984259,-0.0682990103559148,-0.0269805354112645,0.234840050960279,-0.808265562154622,1.24280981925297,2.0670411232444,-0.974888506374929
