Genes,DPD_BL,DPD_onc,DPD_risk,DPD_T2,DPD_Ta,DPD_immuno,DPD_immuno_0
CSNK2A2,0.0,0.00185095213743914,0.0,0.0,0.0,0.0,-0.013192161664072702
CSRP1,0.0,0.00844433292704795,0.0,0.0,0.0,0.0,-0.019453732087245122
CTNNAL1,0.0,-0.0193327617320748,0.0,0.0,0.0,0.0,0.01015937294970679
CTNND1,0.0536796988296502,0.0137749098383382,0.0,0.0536796988296502,-0.0138725790750709,0.0,0.011047953396457517
CTSD,0.0,-0.0175956761236928,-0.00592806686162636,0.0,0.0,0.0,-0.022079506989636417
CTSL,0.0,-0.0305980171605564,0.0,0.0,0.0,0.0,-0.010504572878854968
CTTN,0.0409843688088383,-0.00427303851917804,0.0460624834435574,0.0409843688088383,-0.0751899127657895,0.0,0.022066990607545536
CXCL2,0.0164663216882636,0.0831550706101724,0.0,0.0164663216882636,0.116432302545779,0.0,0.001088430789907904
CXCR4,0.0889806089244869,0.0700013283448508,0.0,0.0889806089244869,0.0392258918399934,0.0,-0.014959865170033924
CYB561,0.0,-0.0118847923326101,0.0,0.0,0.0,0.0,-0.03175064468147347
CYCS,0.0614191073233826,0.0115771780044599,0.0,0.0614191073233826,0.0360505818305031,0.0,-0.008965819292521797
CYTH1,0.0,0.00114213039861323,0.0,0.0,0.0,0.0,0.04897512902486247
DAG1,0.0,-0.0302523479034333,0.0,0.0,0.0,0.0,-0.025772775687543176
DAXX,0.0,-0.00304800756864438,0.0,0.0,0.0,0.0,-0.04625711222156709
DCK,0.0,-0.0227204520430218,0.0,0.0,0.0,0.0,-0.05492812900013436
DCTD,-0.0262173615375147,0.0444803172122064,0.0,-0.0262173615375147,-0.0071063401460353,0.0,0.11087251101035774
DCUN1D4,0.0,0.018481010565492,-0.159544353795015,0.0,0.0,0.0,-0.0019196865291469935
DDB2,0.0,0.0162459081149379,0.0,0.0,0.0,0.0,-0.023876358682597576
DDIT4,-0.0801536905440579,0.046184951136405,0.0,-0.0801536905440579,0.0296711964794999,0.0,0.023746357490705722
DDR1,0.0,0.00815132269317304,0.0,0.0,0.0,0.0,-0.022778735023242958
DDX10,-0.0351679969229416,0.0163472556532412,0.0,-0.0351679969229416,0.00458625556585299,0.0,0.022608743330129126
DDX42,0.0,0.0281209665949079,0.0,0.0,0.0,0.0,-0.029983919066064735
DECR1,0.0,-0.0364811945921227,0.0356901618751248,0.0,0.0,0.0,0.025425675129106453
DENND2D,0.0,-0.0265639535796842,0.0,0.0,0.0,0.0,-0.058940555515976795
DERA,0.0,-0.0254519501981305,0.0,0.0,0.0,0.0,0.012409276468820906
DFFA,0.0,0.00261518062530682,0.0,0.0,0.0,0.0,0.042842118162893426
DFFB,0.0,-0.0296422898725385,-0.0572688078969733,0.0,0.0,0.0,-0.051288894272576234
DHDDS,0.0,0.0113254487799211,0.0,0.0,0.0,0.0,-0.041891534453373014
DHRS7,-0.0750255383059881,-0.0295652796853062,0.0547661713358232,-0.0750255383059881,-0.0136657442965262,0.0,0.022425074253572718
DHX29,0.0,-0.0352197191757836,-0.0257103372903218,0.0,0.0,0.0,0.01316397591545186
DIPK1A,0.0,0.0,0.0,0.0,0.0,0.0,0.016412110217431282
DLD,0.0,-0.0458775213790084,-0.0465908112565216,0.0,0.0,0.0,0.023058110789816278
DMAC2L,0.0,0.0,0.0,0.0,0.0,0.0,-0.07302758205091377
DMTF1,0.0,-0.0233530980349713,0.0,0.0,0.0,0.0,0.0017911554959843166
DNAJA3,0.0,0.00722991898939983,0.0,0.0,0.0,0.0,0.018944982844278407
DNAJB1,0.03808051924204,0.0249256396255487,0.0,0.03808051924204,0.0760584010219076,0.0,0.04027294344024374
DNAJB2,0.0,0.0229310593839039,0.0,0.0,0.0,0.0,-0.04053571712119335
DNAJB6,0.0,0.0133542004963092,0.0,0.0,0.0,0.0,0.07252643566918132
DNAJC15,0.0543772739444691,-0.00459063814567892,-0.0100265271908307,0.0543772739444691,0.286421896431608,0.0,-0.01760138941998842
DNM1,0.0,-0.0155146167239265,0.0,0.0,0.0,0.0,-0.0019415757029638346
DNM1L,0.0,-0.000345278480106239,-0.00265126508796233,0.0,0.0,0.0,-0.02081314765366251
DNMT1,0.0303553772096487,-0.000838445596314897,0.0,0.0303553772096487,0.0322527873601975,0.0,-0.016678455531495707
DNMT3A,0.0,-0.0126148883581026,0.0,0.0,0.0,0.0,0.05802402982659767
DNTTIP2,0.0,0.0043061549967587,0.0356677319044337,0.0,0.0,0.0,0.03404741710824958
DPH2,0.0,-0.0447959935252691,0.0,0.0,0.0,0.0,-0.018494536432369743
DRAP1,0.0,-0.0223668736749309,0.0,0.0,0.0,0.0,-0.034606506942437484
DSG2,0.0565645825823133,0.0177311434717509,0.00590301374644837,0.0565645825823133,-0.0512511358720428,0.0,0.03139174594517575
DUSP11,0.0,0.00492885713212429,0.0,0.0,0.0,0.0,0.008371890589717422
DUSP14,0.0,0.0694909000155213,0.0,0.0,0.0,0.0,0.021020404071223926
DUSP22,0.0,0.0497862544001272,-1.40251753891658e-09,0.0,0.0,0.0,-0.008824495980057695
DUSP3,0.0,-0.0138035177642744,-0.0125587272947341,0.0,0.0,0.0,0.007972741965772407
DUSP4,0.00983854452914368,0.0302014645231667,-0.0297164979976951,0.00983854452914368,-0.0784745337128108,0.0,-0.03336430109854814
DUSP6,0.0143474017189445,-0.0283871052812101,0.0747679661488769,0.0143474017189445,0.102311366269869,0.0,0.011355049603483262
DYNLT3,0.0,-0.0238116816432182,0.0,0.0,0.0,0.0,0.02862139057441095
DYRK3,0.0,0.0308655941210819,0.0,0.0,0.0,0.0,0.00013270316940320549
E2F2,0.0,0.0619271049960145,0.0,0.0,0.0,0.0,-0.015894364717533277
EAPP,0.0,0.000494913712732371,0.0,0.0,0.0,0.0,-0.021013853893508475
EBNA1BP2,-0.000707822306760629,0.0069978557645728,-0.0615346383605682,-0.000707822306760629,0.0268998106001942,0.0,-0.004420089920274149
EBP,0.0183276761615621,-0.0347359951281234,0.0,0.0183276761615621,0.0438789023760142,0.0,0.020181989036182364
ECD,0.0,-0.0489327365605452,0.0,0.0,0.0,0.0,-0.0203253361159684
ECH1,-0.00860568297779804,-0.0268355387533401,0.0344519603040774,-0.00860568297779804,-0.00224202198958067,0.0,-0.027303314427163262
